Keywords,area,sqft,bedroom,bath,name,property type,completion year,no of floors,Furnishing Status,Number of Carpark,Floor Range,Deposit,Tenant Preference,PropertyID,Squash Court,Lift,Near KTM/LRT,Railway Station,Air-Cond,Security,Swimming Pool,School,Minimart,Cooking Allowed,Mall,Parking,Washing Machine,Gymnasium,Playground,Multipurpose hall,Park,Jogging Track,Tennis Court,Internet,Sauna,Barbeque area,area_sqft_numeric,cleaned_location,powerbi_location,State_Province,Country
"RM 1,599 per month",Flexus Signature Suites,583,1,1,"Flexus Soho [Furnished] Publika, Kepong , Sentul",Service Residence,2018,20,Fully Furnished,,Medium,3500,Male,112909285,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,583,Jalan Kuching,"Jalan Kuching, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,400 per month",Paraiso Residence @ The Earth,960,3,2,[ Below Market House ] Paraiso residense bukit jalil 3 bedroom,Condominium,2020,39,Fully Furnished,2,Not Stated,,"Male, Female",112916612,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,960,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,700 per month",M Arisa,878,3,2,Sentul Brand New Ready Move In Condo,Service Residence,2024,55,Fully Furnished,,Medium,,"Male, Couple",112903064,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,878,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,500 per month",The Nest @ Jln Klang Lama,300,1,1,The nest 2 old Klang road studio for rent,Condominium,2019,36,Fully Furnished,1,Not Stated,,"Male, Female",112976365,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,300,Old Klang Road,"Old Klang Road, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,899 per month",Paraiso Residence @ The Earth,960,3,2,[Below Market ] Paraiso residense bukit jalil 3 bedroom for rent,Condominium,2020,39,Partially Furnished,2,Not Stated,,Female,112874368,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,960,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,399 per month",Duta Park Residences,980,2,2,[Nice House ] Duta park Jalan Kuching 2 bedroom for rent,Service Residence,2024,58,Fully Furnished,1,Not Stated,,"Male, Female, Couple",112842672,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,980,KL City,"KL City, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 800 per month,Kepong,120,,,Unio Residence Master bedroom MRT Kepong Baru Female Malay Only,Condo / Services residence / Penthouse / Townhouse,2020,,Fully Furnished,1,Medium,2295,"Male, Couple",110730917,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,120,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 700 per month,Kepong,100,,,Unio Residence Kepong Near LRT Room With Balcony Female Malay Only,Condo / Services residence / Penthouse / Townhouse,2020,,Fully Furnished,2,Medium,,"Male, Female, Couple",110730845,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,100,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,700 per month",Rafflesia Sentul Condominium,901,3,2,"Rafflesia Condominium, Sentul Kuala Lumpur LRT Walking Distance",Condominium,2016,21,Partially Furnished,,Medium,6336,Female,113001447,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,901,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,900 per month",Widuri Impian,970,3,2,Rumah Cantik‼️Unit Sewa Fully Furnished di Widuri Impian‼️,Condominium,2008,21,Fully Furnished,1,Not Stated,,Male,113001446,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,970,Desa Petaling,"Desa Petaling, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,900 per month",Bayu Andaman,"1,000",3,2,Bawa baju je masuk‼️Unit Sewa Fully Furnished di Bayu Andaman‼️,Apartment,2020,31,Fully Furnished,,Not Stated,,Male,113001442,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1000,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,350 per month",Arena Green,732,2,1,Arena Green Bukit Jalil for rent,Condominium,2000,11,Partially Furnished,1,High,4725,"Male, Female",113001454,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,732,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,500 per month",Sentral Suites @ KL Sentral,"1,025",3,3,Spacious w Fully Furnished unit @ Sentral Suites for Rent ‼️,Service Residence,2022,43,Fully Furnished,,Not Stated,,"Male, Couple",113001450,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1025,KL Sentral,"KL Sentral, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,600 per month",Rafflesia Sentul Condominium,"1,011",3,2,"Rafflesia Condominium, Sentul Kuala Lumpur LRT Walking Distance",Condominium,2016,21,Not Furnished,,Medium,5978,Female,113001425,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1011,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,500 per month",Villa Wangsamas,"1,500",3,2,Lower Ground Unit w Yard @ Villa Wangsamas for Rent‼️,Condominium,2010,20,Fully Furnished,,Low,,Female,112783862,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1500,Wangsa Maju,"Wangsa Maju, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,350 per month",Platinum Lake PV 21,900,2,2,PV21 condo 2 rooms 2 bathrooms BASIC FURNISHED nice unit 1 car park,Condominium,2016,28,Not Furnished,1,Medium,,"Male, Female",113001428,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,900,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,900 per month",Platinum Lake PV 20,"1,333",4,2,Fully furnished 4room Pv20 for Rent,Condominium,2014,25,Fully Furnished,1,Medium,7000,"Male, Female",112762245,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1333,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 950 per month,PPR Seri Semarak,650,3,2,【❤️Sewa Segera❤️PPR Desa Rejang Setapak KL 3room2bathroom for rent ❤️,Flat,18,,Partially Furnished,,Medium,3325,"Male, Female",111535275,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,650,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
